sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
2254,2026-09-13T00:29:04.661+00:00,56.814807,0.014776,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2255,2026-09-13T00:29:04.690+00:00,56.843989,0.029181,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2256,2026-09-13T00:29:04.837+00:00,56.991167,0.147178,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2257,2026-09-13T00:29:04.852+00:00,57.005645,0.014479,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2258,2026-09-13T00:29:04.867+00:00,57.020761,0.015116,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2259,2026-09-13T00:29:04.881+00:00,57.034599,0.013838,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2260,2026-09-13T00:29:04.896+00:00,57.049613,0.015014,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2261,2026-09-13T00:29:04.912+00:00,57.065507,0.015894,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2262,2026-09-13T00:29:04.927+00:00,57.080335,0.014828,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2263,2026-09-13T00:29:04.940+00:00,57.093554,0.013219,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2264,2026-09-13T00:29:04.955+00:00,57.108995,0.015442,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2265,2026-09-13T00:29:04.970+00:00,57.12348,0.014484,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2266,2026-09-13T00:29:04.985+00:00,57.138577,0.015098,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2267,2026-09-13T00:29:05.000+00:00,57.153301,0.014724,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2268,2026-09-13T00:29:05.015+00:00,57.168122,0.014821,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2269,2026-09-13T00:29:05.044+00:00,57.197444,0.029322,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2270,2026-09-13T00:29:05.190+00:00,57.343502,0.146058,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2271,2026-09-13T00:29:05.205+00:00,57.35879,0.015288,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2272,2026-09-13T00:29:05.221+00:00,57.37458,0.015791,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2273,2026-09-13T00:29:05.234+00:00,57.387606,0.013026,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2274,2026-09-13T00:29:05.250+00:00,57.403295,0.015688,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2275,2026-09-13T00:29:05.264+00:00,57.417691,0.014396,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2276,2026-09-13T00:29:05.278+00:00,57.431676,0.013985,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2277,2026-09-13T00:29:05.293+00:00,57.44703,0.015354,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2278,2026-09-13T00:29:05.308+00:00,57.46165,0.01462,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2279,2026-09-13T00:29:05.323+00:00,57.476761,0.015111,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2280,2026-09-13T00:29:05.338+00:00,57.491419,0.014658,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2281,2026-09-13T00:29:05.352+00:00,57.505724,0.014305,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2282,2026-09-13T00:29:05.368+00:00,57.521265,0.015541,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2283,2026-09-13T00:29:05.396+00:00,57.549619,0.028353,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2284,2026-09-13T00:29:05.543+00:00,57.696744,0.147125,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2285,2026-09-13T00:29:05.558+00:00,57.711752,0.015008,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2286,2026-09-13T00:29:05.573+00:00,57.726774,0.015022,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2287,2026-09-13T00:29:05.588+00:00,57.742024,0.01525,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2288,2026-09-13T00:29:05.603+00:00,57.756439,0.014416,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2289,2026-09-13T00:29:05.617+00:00,57.77063,0.014191,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2290,2026-09-13T00:29:05.632+00:00,57.785795,0.015165,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2291,2026-09-13T00:29:05.646+00:00,57.799905,0.01411,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2292,2026-09-13T00:29:05.661+00:00,57.814604,0.014699,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2293,2026-09-13T00:29:05.676+00:00,57.829497,0.014893,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2294,2026-09-13T00:29:05.691+00:00,57.844488,0.014992,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2295,2026-09-13T00:29:05.705+00:00,57.85856,0.014072,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2296,2026-09-13T00:29:05.720+00:00,57.873544,0.014984,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2297,2026-09-13T00:29:05.750+00:00,57.903454,0.02991,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2298,2026-09-13T00:29:05.896+00:00,58.050038,0.146584,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2299,2026-09-13T00:29:05.912+00:00,58.065303,0.015266,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2300,2026-09-13T00:29:05.926+00:00,58.079778,0.014475,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2301,2026-09-13T00:29:05.941+00:00,58.094219,0.01444,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2302,2026-09-13T00:29:05.955+00:00,58.109033,0.014815,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2303,2026-09-13T00:29:05.971+00:00,58.124478,0.015445,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2304,2026-09-13T00:29:05.985+00:00,58.138735,0.014257,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2305,2026-09-13T00:29:06.000+00:00,58.153352,0.014617,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2306,2026-09-13T00:29:06.014+00:00,58.168064,0.014712,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2307,2026-09-13T00:29:06.029+00:00,58.18268,0.014615,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2308,2026-09-13T00:29:06.044+00:00,58.197506,0.014826,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2309,2026-09-13T00:29:06.058+00:00,58.21198,0.014474,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2310,2026-09-13T00:29:06.073+00:00,58.226862,0.014881,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2311,2026-09-13T00:29:06.102+00:00,58.255835,0.028974,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2312,2026-09-13T00:29:06.250+00:00,58.403539,0.147704,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2313,2026-09-13T00:29:06.265+00:00,58.418379,0.01484,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2314,2026-09-13T00:29:06.280+00:00,58.433212,0.014834,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2315,2026-09-13T00:29:06.294+00:00,58.447427,0.014214,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2316,2026-09-13T00:29:06.309+00:00,58.462984,0.015557,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2317,2026-09-13T00:29:06.323+00:00,58.47701,0.014026,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2318,2026-09-13T00:29:06.338+00:00,58.491557,0.014547,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2319,2026-09-13T00:29:06.352+00:00,58.505887,0.014329,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2320,2026-09-13T00:29:06.367+00:00,58.520459,0.014572,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2321,2026-09-13T00:29:06.382+00:00,58.535556,0.015097,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2322,2026-09-13T00:29:06.398+00:00,58.551376,0.01582,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2323,2026-09-13T00:29:06.411+00:00,58.565034,0.013658,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2324,2026-09-13T00:29:06.426+00:00,58.579803,0.014769,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2325,2026-09-13T00:29:06.455+00:00,58.608849,0.029046,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2326,2026-09-13T00:29:06.603+00:00,58.75639,0.147541,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2327,2026-09-13T00:29:06.617+00:00,58.770553,0.014163,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2328,2026-09-13T00:29:06.633+00:00,58.786206,0.015653,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2329,2026-09-13T00:29:06.647+00:00,58.800607,0.014401,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
2330,2026-09-13T00:29:06.661+00:00,58.814849,0.014242,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2331,2026-09-13T00:29:06.676+00:00,58.830053,0.015204,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2332,2026-09-13T00:29:06.691+00:00,58.844626,0.014573,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2333,2026-09-13T00:29:06.705+00:00,58.858763,0.014138,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2334,2026-09-13T00:29:06.720+00:00,58.873866,0.015102,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2335,2026-09-13T00:29:06.735+00:00,58.888913,0.015047,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2336,2026-09-13T00:29:06.751+00:00,58.904354,0.015441,Chordcat 0,control_change,1,,,,11,65,,,,,,B0 0B 41,control_change channel=0 control=11 value=65 time=0
2337,2026-09-13T00:29:06.765+00:00,58.918434,0.01408,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2338,2026-09-13T00:29:06.780+00:00,58.933418,0.014984,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2339,2026-09-13T00:29:06.808+00:00,58.961831,0.028413,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2340,2026-09-13T00:29:06.955+00:00,59.108525,0.146693,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2341,2026-09-13T00:29:06.970+00:00,59.123988,0.015463,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2342,2026-09-13T00:29:06.985+00:00,59.13877,0.014782,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2343,2026-09-13T00:29:07.001+00:00,59.154404,0.015634,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
2344,2026-09-13T00:29:07.014+00:00,59.168007,0.013603,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2345,2026-09-13T00:29:07.029+00:00,59.182562,0.014554,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2346,2026-09-13T00:29:07.044+00:00,59.198032,0.01547,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2347,2026-09-13T00:29:07.058+00:00,59.211449,0.013418,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2348,2026-09-13T00:29:07.073+00:00,59.22672,0.015271,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2349,2026-09-13T00:29:07.089+00:00,59.242333,0.015613,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2350,2026-09-13T00:29:07.102+00:00,59.255615,0.013282,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2351,2026-09-13T00:29:07.117+00:00,59.27062,0.015005,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2352,2026-09-13T00:29:07.133+00:00,59.28643,0.01581,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2353,2026-09-13T00:29:07.161+00:00,59.314963,0.028533,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2354,2026-09-13T00:29:07.308+00:00,59.46175,0.146787,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2355,2026-09-13T00:29:07.323+00:00,59.476689,0.014939,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2356,2026-09-13T00:29:07.338+00:00,59.491622,0.014933,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2357,2026-09-13T00:29:07.353+00:00,59.506949,0.015327,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2358,2026-09-13T00:29:07.367+00:00,59.520851,0.013902,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2359,2026-09-13T00:29:07.387+00:00,59.540282,0.019431,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2360,2026-09-13T00:29:07.397+00:00,59.551025,0.010743,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2361,2026-09-13T00:29:07.413+00:00,59.566259,0.015234,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2362,2026-09-13T00:29:07.426+00:00,59.57969,0.013431,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2363,2026-09-13T00:29:07.441+00:00,59.594521,0.014832,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2364,2026-09-13T00:29:07.457+00:00,59.610286,0.015765,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2365,2026-09-13T00:29:07.471+00:00,59.624251,0.013964,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2366,2026-09-13T00:29:07.485+00:00,59.638748,0.014497,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2367,2026-09-13T00:29:07.514+00:00,59.667752,0.029004,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2368,2026-09-13T00:29:07.662+00:00,59.815626,0.147874,Chordcat 0,control_change,1,,,,11,120,,,,,,B0 0B 78,control_change channel=0 control=11 value=120 time=0
2369,2026-09-13T00:29:07.676+00:00,59.830124,0.014498,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2370,2026-09-13T00:29:07.691+00:00,59.844495,0.014371,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2371,2026-09-13T00:29:07.706+00:00,59.860059,0.015564,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
2372,2026-09-13T00:29:07.720+00:00,59.87382,0.013761,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2373,2026-09-13T00:29:07.735+00:00,59.888859,0.015039,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2374,2026-09-13T00:29:07.750+00:00,59.90351,0.014651,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2375,2026-09-13T00:29:07.764+00:00,59.917878,0.014368,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2376,2026-09-13T00:29:07.780+00:00,59.93341,0.015533,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2377,2026-09-13T00:29:07.794+00:00,59.947569,0.014159,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2378,2026-09-13T00:29:07.810+00:00,59.963276,0.015707,Chordcat 0,control_change,1,,,,11,65,,,,,,B0 0B 41,control_change channel=0 control=11 value=65 time=0
2379,2026-09-13T00:29:07.823+00:00,59.97689,0.013614,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2380,2026-09-13T00:29:07.838+00:00,59.991373,0.014483,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2381,2026-09-13T00:29:07.867+00:00,60.020588,0.029215,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2382,2026-09-13T00:29:08.014+00:00,60.167991,0.147403,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2383,2026-09-13T00:29:08.029+00:00,60.182801,0.01481,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2384,2026-09-13T00:29:08.045+00:00,60.198358,0.015557,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2385,2026-09-13T00:29:08.059+00:00,60.212502,0.014143,Chordcat 0,control_change,1,,,,11,96,,,,,,B0 0B 60,control_change channel=0 control=11 value=96 time=0
2386,2026-09-13T00:29:08.074+00:00,60.227299,0.014797,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2387,2026-09-13T00:29:08.088+00:00,60.241478,0.014179,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2388,2026-09-13T00:29:08.104+00:00,60.257511,0.016034,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2389,2026-09-13T00:29:08.117+00:00,60.27082,0.013309,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2390,2026-09-13T00:29:08.133+00:00,60.286435,0.015615,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2391,2026-09-13T00:29:08.147+00:00,60.300867,0.014432,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2392,2026-09-13T00:29:08.162+00:00,60.315609,0.014741,Chordcat 0,control_change,1,,,,11,65,,,,,,B0 0B 41,control_change channel=0 control=11 value=65 time=0
2393,2026-09-13T00:29:08.176+00:00,60.329453,0.013844,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2394,2026-09-13T00:29:08.192+00:00,60.34543,0.015977,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2395,2026-09-13T00:29:08.220+00:00,60.373469,0.028039,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2396,2026-09-13T00:29:08.369+00:00,60.522554,0.149085,Chordcat 0,control_change,1,,,,11,120,,,,,,B0 0B 78,control_change channel=0 control=11 value=120 time=0
2397,2026-09-13T00:29:08.382+00:00,60.536072,0.013519,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2398,2026-09-13T00:29:08.397+00:00,60.550402,0.01433,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2399,2026-09-13T00:29:08.412+00:00,60.565618,0.015216,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2400,2026-09-13T00:29:08.428+00:00,60.581642,0.016024,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
2401,2026-09-13T00:29:08.441+00:00,60.594606,0.012964,Chordcat 0,control_change,1,,,,11,84,,,,,,B0 0B 54,control_change channel=0 control=11 value=84 time=0
2402,2026-09-13T00:29:08.456+00:00,60.610016,0.01541,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
2403,2026-09-13T00:29:08.471+00:00,60.624585,0.014569,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
2404,2026-09-13T00:29:08.485+00:00,60.639176,0.014591,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
2405,2026-09-13T00:29:08.501+00:00,60.654163,0.014987,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
2406,2026-09-13T00:29:08.515+00:00,60.669157,0.014995,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
2407,2026-09-13T00:29:08.530+00:00,60.683737,0.014579,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
2408,2026-09-13T00:29:08.544+00:00,60.697536,0.0138,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
2409,2026-09-13T00:29:08.575+00:00,60.728162,0.030625,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
2410,2026-09-13T00:29:08.721+00:00,60.874401,0.146239,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
2411,2026-09-13T00:29:08.736+00:00,60.889343,0.014942,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
2412,2026-09-13T00:29:08.750+00:00,60.903626,0.014283,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
2413,2026-09-13T00:29:08.765+00:00,60.918527,0.014901,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
2414,2026-09-13T00:29:08.779+00:00,60.932716,0.01419,Chordcat 0,control_change,1,,,,11,91,,,,,,B0 0B 5B,control_change channel=0 control=11 value=91 time=0
