sequence,utc_time,elapsed_seconds,delta_seconds,port,type,channel_1_based,note,note_name,velocity,control,value,program_1_based,pitch,song,pos,sysex_hex,raw_bytes_hex,message
511,2026-09-13T00:28:20.782+00:00,12.93565,0.01275,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
512,2026-09-13T00:28:20.797+00:00,12.950853,0.015204,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
513,2026-09-13T00:28:20.813+00:00,12.966548,0.015695,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
514,2026-09-13T00:28:20.828+00:00,12.981274,0.014725,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
515,2026-09-13T00:28:20.841+00:00,12.994629,0.013355,Chordcat 0,control_change,1,,,,11,68,,,,,,B0 0B 44,control_change channel=0 control=11 value=68 time=0
516,2026-09-13T00:28:20.856+00:00,13.00976,0.015131,Chordcat 0,control_change,1,,,,11,66,,,,,,B0 0B 42,control_change channel=0 control=11 value=66 time=0
517,2026-09-13T00:28:20.871+00:00,13.024895,0.015135,Chordcat 0,control_change,1,,,,11,64,,,,,,B0 0B 40,control_change channel=0 control=11 value=64 time=0
518,2026-09-13T00:28:20.885+00:00,13.039078,0.014183,Chordcat 0,control_change,1,,,,11,63,,,,,,B0 0B 3F,control_change channel=0 control=11 value=63 time=0
519,2026-09-13T00:28:20.915+00:00,13.068946,0.029868,Chordcat 0,control_change,1,,,,11,127,,,,,,B0 0B 7F,control_change channel=0 control=11 value=127 time=0
520,2026-09-13T00:28:21.062+00:00,13.216157,0.147211,Chordcat 0,control_change,1,,,,11,121,,,,,,B0 0B 79,control_change channel=0 control=11 value=121 time=0
521,2026-09-13T00:28:21.078+00:00,13.231615,0.015458,Chordcat 0,control_change,1,,,,11,112,,,,,,B0 0B 70,control_change channel=0 control=11 value=112 time=0
522,2026-09-13T00:28:21.091+00:00,13.244701,0.013086,Chordcat 0,control_change,1,,,,11,104,,,,,,B0 0B 68,control_change channel=0 control=11 value=104 time=0
523,2026-09-13T00:28:21.106+00:00,13.260007,0.015306,Chordcat 0,control_change,1,,,,11,97,,,,,,B0 0B 61,control_change channel=0 control=11 value=97 time=0
524,2026-09-13T00:28:21.122+00:00,13.275335,0.015328,Chordcat 0,control_change,1,,,,11,90,,,,,,B0 0B 5A,control_change channel=0 control=11 value=90 time=0
525,2026-09-13T00:28:21.136+00:00,13.289613,0.014278,Chordcat 0,control_change,1,,,,11,85,,,,,,B0 0B 55,control_change channel=0 control=11 value=85 time=0
526,2026-09-13T00:28:21.150+00:00,13.304073,0.01446,Chordcat 0,control_change,1,,,,11,79,,,,,,B0 0B 4F,control_change channel=0 control=11 value=79 time=0
527,2026-09-13T00:28:21.165+00:00,13.318858,0.014784,Chordcat 0,control_change,1,,,,11,75,,,,,,B0 0B 4B,control_change channel=0 control=11 value=75 time=0
528,2026-09-13T00:28:21.181+00:00,13.334638,0.01578,Chordcat 0,control_change,1,,,,11,71,,,,,,B0 0B 47,control_change channel=0 control=11 value=71 time=0
